FWSColonyID,Year,Str,PlotID,Nest,Lng,Lat,Comment
ME.0004,2023,Co,ca.1o,6,-70.05283470288063,43.71096757720914,Ground count 
ME.0005,2023,Co,ca.1n,196,-70.03157698873612,43.80598071206667,
ME.0006,2015,Co,ce.1m,3,-69.58472052389202,43.7753583598,"WBC0006;Linekin Bay - Outer Heron Island;Coniferous island, upland forbs, shrubs.;NA;NA;NA"
ME.0007,2023,Co,cf.1k,126,-69.40058661862221,43.91036194211134, GDA: colony not observed added most recent status
ME.0008,2023,Co,ch.1j,53,-69.09553531211805,43.98135351191638,Aerial count 
ME.0013,2023,Co,ck.1g,0,-68.60044287310862,44.17655205294565,WBC0013;Deer Island Thorofare - Sheep Island;Conifer covered island.;NA;NA;NA
ME.0014,2023,Co,cj.1h,26,-68.7078939127235,44.12531561822251,
ME.0016,2023,Co,cl.1b,2,-68.26366416992305,44.54902105087815,WBC0016;Taunton Bay - Egypt Bay - Burying Island;NA;NA;NA;NA
ME.0020,2023,Co,cs.19,50,-67.37107504249973,44.59756466791171,
ME.0022,2023,SC,c9.1p,1,-70.18737801387589,43.63750046627615,Ground count 
ME.0023,2023,Co,cb.1o,59,-69.89935976618216,43.72144426670675,
ME.0025,2023,Co,cb.1n,39,-69.89143164797667,43.75107510860222,Ground count 
ME.0026,2023,Co,ca.1n,0,-70.05592614507549,43.7668259725,
ME.0032,2023,Co,ch.1g,10,-68.96404003378399,44.25900466818431,Aerial count 
ME.0033,2015,Co,cn.1d,0,-68.1003017448,44.3608184522,
ME.0034,2023,Co,cl.1d,0,-68.40088972639566,44.381876800225726,WBC0034;Western Bay - Crystal Cove - Black Island;NA;NA;NA;NA
ME.0038,2015,Co,cq.1b,0,-67.6188857623,44.4625236453,
ME.0041,2015,Co,cd.1m,0,-69.6752541301,43.792803944,
ME.0042,2015,Co,ch.1g,0,-68.9589275379,44.2336123277,
ME.0043,2023,Co,cp.1b,40,-67.82870484799408,44.483912938817284,NA 
ME.0044,2023,Co,cf.1k,0,-69.35471848287007,43.96491328931822,WBC0044;Muscongus Bay - Hatchet Cove - Ram Island;NA;NA;NA;NA
ME.0045,2023,Co,ce.1m,22,-69.57354439846151,43.78782227623337,
ME.0100,2023,SC,c6.1w,14,-70.79496256079821,43.13933812348343,NA 
ME.0101,2023,SC,c6.1v,19,-70.77946971780652,43.1868000371924,NA 
ME.0102,2023,SC,c6.1u,4,-70.70852746052502,43.27663661027783,Ground count 
ME.0103,2023,SC,c6.1s,3,-70.66813433421254,43.451084596215,Ground count 
ME.0104,2015,SC,c5.1s,0,-70.8511230041,43.4652641222,
ME.0105,2023,SC,c4.1r,3,-70.82678590788888,43.61651127762833,WBC0105;Pine Springs Lake (wetland to NW);NA;NA;NA;NA
ME.0106,2023,SC,cd.1i,17,-69.52342348761263,44.14456733117822,Ground count 
ME.0108,2023,SC,c9.1j,0,-70.05297425841911,44.224805222146955,WBC0108;Cochnewagon Lake;NA;NA;NA;NA
ME.0109,2023,ND,c2.1k,12,-70.97362176230256,44.23551010910979,Ground count 
ME.0112,2023,SC,c8.1i,5,-70.09939477650832,44.307249886991826,"WBC0112;Androscoggin Lake - Lothrop Island;Superstory white pine on mixed forested island in large shallow lake.;Lothrop Island in Androscoggin lake, NW side of island.;NA;NA"
ME.0113,2023,SC,c8.1i,0,-70.08758360133415,44.31332293551955,WBC0113;Androscoggin Lake - Norris Island;NA;NA;NA;NA
ME.0114,2015,SC,c7.1g,0,-70.134101376,44.5192149768,
