Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2015,ME.0004,Co,ca.1o,-70.0528347029,43.7109675772,5,1
2015,ME.0006,Co,ce.1m,-69.5847205239,43.7753583598,0,0
2015,ME.0007,Co,cf.1k,-69.4005866186,43.9103619421,100,100
2015,ME.0008,Co,ch.1j,-69.0955353121,43.9813535119,50,50
2015,ME.0014,Co,cj.1h,-68.7078939127,44.1253156182,0,0
2015,ME.0016,Co,cl.1b,-68.2636641699,44.5490210509,0,0
2015,ME.0020,Co,cs.19,-67.3710750425,44.5975646679,0,0
2015,ME.0022,SC,c9.1p,-70.1873780139,43.6375004663,1,1
2015,ME.0023,Co,cb.1o,-69.8993597662,43.7214442667,0,0
2015,ME.0025,Co,cb.1n,-69.891431648,43.7510751086,10,10
2015,ME.0026,Co,ca.1n,-70.0559261451,43.7668259725,0,0
2015,ME.0032,Co,ch.1g,-68.9640400338,44.2590046682,0,0
2015,ME.0033,Co,cn.1d,-68.1003017448,44.3608184522,0,0
2015,ME.0038,Co,cq.1b,-67.6188857623,44.4625236453,0,0
2015,ME.0041,Co,cd.1m,-69.6752541301,43.792803944,0,0
2015,ME.0042,Co,ch.1g,-68.9589275379,44.2336123277,0,0
2015,ME.0043,Co,cp.1b,-67.828704848,44.4839129388,13,0
2015,ME.0100,SC,c6.1w,-70.7949625608,43.1393381235,14,6
2015,ME.0101,SC,c6.1v,-70.7794697178,43.1868000372,3,3
2015,ME.0102,SC,c6.1u,-70.7085274605,43.2766366103,2,0
2015,ME.0103,SC,c6.1s,-70.6681343342,43.4510845962,3,3
2015,ME.0104,SC,c5.1s,-70.8511230041,43.4652641222,0,0
2015,ME.0106,SC,cd.1i,-69.5234234876,44.1445673312,2,0
2015,ME.0109,ND,c2.1k,-70.9736217623,44.2355101091,2,0
2015,ME.0112,SC,c8.1i,-70.0993947765,44.307249887,0,0
2015,ME.0114,SC,c7.1g,-70.134101376,44.5192149768,0,0
2015,ME.0115,SC,cd.1e,-69.3723385403,44.553497552,0,0
2015,ME.0117,SC,c8.1f,-69.9838751056,44.5231287462,0,0
2015,ME.0119,SC,c9.1e,-69.901636095,44.6081667787,3,3
2015,ME.0121,SC,c8.1d,-69.9379424937,44.7437611253,0,0
2015,ME.0122,SC,cc.1c,-69.3625631374,44.7288075318,0,0
2015,ME.0123,ND,cn.18,-67.9807492246,44.7775604686,4,1
2015,ME.0129,SC,c8.1b,-69.8951100707,44.9154975492,0,0
2015,ME.0130,SC,cg.17,-68.7844221672,45.0332529998,0,0
2015,ME.0131,ND,bz.1b,-70.9885666331,45.0816143362,0,0
2015,ME.0134,SC,cg.16,-68.7098421282,45.1377190797,0,0
2015,ME.0139,ND,c7.16,-69.8260261493,45.3525384344,0,0
2015,ME.0166,SC,cc.1a,-69.4097474867,44.8872796594,9,7
2015,ME.0172,SC,cc.1j,-69.6649090182,44.1244204054,0,0
2015,ME.0174,SC,c3.1n,-70.9090110102,44.0168326301,0,0
2015,ME.0178,SC,c8.1h,-70.0914897564,44.3285546949,0,0
2015,ME.0182,ND,cd.11,-68.8999834295,45.6298005808,0,0
2015,ME.0183,ND,cg.11,-68.4955079562,45.5363080497,0,0
2015,ME.0184,ND,c1.1c,-70.7299485148,44.9301706907,0,0
2015,ME.0185,SC,c4.1p,-70.8881249471,43.7702052975,0,0
2015,ME.0501,SC,c5.1s,-70.8242297463,43.5387692287,0,0
2015,ME.0503,SC,cc.1d,-69.4217205296,44.6548116357,0,0
2015,ME.0504,SC,cc.1d,-69.4436724063,44.6175841559,0,0
2015,ME.0505,SC,ce.1b,-69.0874868447,44.7617982144,0,0
2015,ME.0506,SC,ce.19,-69.058578227,44.8860788509,2,0
2015,ME.0510,ND,ch.0p,-67.9893601253,46.5413660981,0,0
2015,ME.0601,SC,c6.1m,-70.5124921117,43.9750518372,0,0
2015,ME.0602,SC,c8.1i,-70.0527680635,44.3065998125,35,35
2015,ME.0603,Co,cg.1j,-69.2028011856,44.0527258296,0,0
2015,ME.0604,ND,c6.1j,-70.455313133,44.2203849159,13,11
2015,ME.0605,SC,ca.1g,-69.7688778438,44.3822453996,12,9
2015,ME.0606,SC,cb.1g,-69.6982757816,44.3906293138,0,0
2015,ME.0607,SC,cc.1i,-69.5996604707,44.1833116577,0,0
2015,ME.0608,Co,ck.1g,-68.5790390982,44.1682231381,36,30
2015,ME.0609,ND,c2.1g,-70.7285544239,44.6187991045,4,4
2015,ME.0611,SC,c8.1e,-69.971563351,44.5879178893,0,0
2015,ME.0612,SC,cg.1c,-68.9667517058,44.6583581632,15,15
2015,ME.0613,SC,ch.1a,-68.6813185259,44.772667959,0,0
2015,ME.0614,SC,ch.18,-68.6435611056,44.8767515811,0,0
2015,ME.0616,SC,cg.17,-68.7758519366,45.036747231,0,0
2015,ME.0618,Co,cc.1k,-69.6775338201,43.969811404,0,0
2015,ME.0619,SC,c9.1e,-69.882783118,44.6176808543,0,0
2015,ME.0620,SC,c9.1i,-69.9584763551,44.2428151666,0,0
2015,ME.0621,SC,cg.1b,-68.8529824489,44.6727533303,0,0
