Year,siteID,Str,PlotID,SmpType,xcoord,ycoord,mdcaty,wgt,panel,EvalStatus,EvalReason,Comment
2015,A01,SC,cb.1k,Area,-69.8202266524,44.0593528017,0,30.1998694196,PanelOne,TRUE,,
2015,A02,SC,c9.1f,Area,-69.8863583128,44.5197631508,0,14.6698839376,PanelOne,TRUE,,
2015,A03,SC,cf.1b,Area,-69.0187859278,44.7164495757,0,14.6670800766,PanelOne,TRUE,,
2015,A04,SC,c6.1o,Cmb,-70.551441081,43.8140707501,11,14.6697171955,PanelOne,TRUE,,Evaluated on 2 separate dates because Robs got sick during first survey attempt.
2015,A05,SC,cb.1h,Cmb,-69.7120953235,44.2983122306,14,14.7867922855,PanelOne,TRUE,,
2015,A06,SC,cc.1a,Cmb,-69.3483474347,44.8777539193,67,14.6685554638,PanelOne,TRUE,,
2015,A07,SC,c7.1w,Area,-70.6997886381,43.1119656269,0,24.6231358584,PanelOne,TRUE,,
2015,A08,SC,c8.1k,Area,-70.1770411147,44.1119751027,0,14.6700627081,PanelOne,TRUE,,
2015,A09,SC,cf.1f,Area,-69.1783360998,44.378854936,0,22.1777355217,PanelOne,TRUE,,
2015,A10,SC,ci.1a,Area,-68.619103795,44.7265958207,0,14.6646436109,PanelOne,TRUE,,
2015,A11,SC,c4.1q,Cmb,-70.8576040322,43.6882754994,9,14.6689436711,PanelOne,TRUE,,
2015,A12,SC,c4.1k,Area,-70.6594088065,44.2037849719,0,15.898039469,PanelOne,TRUE,,
2015,A13,SC,cd.1e,CmbOver,-69.3667795857,44.5077218007,5,14.6686039299,OverSamp,FALSE,,
2015,A14,SC,ce.19,AreaOver,-69.0694858109,44.9140630122,0,14.6673562929,OverSamp,FALSE,,
2015,A15,SC,c6.1q,AreaOver,-70.6173131736,43.6411893097,0,14.6695860195,OverSamp,FALSE,,
2015,A16,SC,c4.1p,CmbOver,-70.8249912105,43.7747805168,1,14.6690497125,OverSamp,FALSE,,
2015,A17,Co,cs.15,Area,-67.2277034084,44.8942040578,0,8.27831688918,PanelOne,TRUE,,
2015,A18,Co,co.1b,Area,-67.927926004,44.4918704921,0,9.96337376348,PanelOne,TRUE,,
2015,A19,Co,cg.1k,Area,-69.2372337478,43.9450271762,0,34.7406772063,PanelOne,TRUE,,
2015,A20,Co,ck.1c,Area,-68.4493378561,44.5077520588,0,8.86832542952,PanelOne,TRUE,,
2015,A21,Co,cr.17,Cmb,-67.4199371104,44.7515435987,1,7.84743231025,PanelOne,TRUE,,
2015,A22,Co,cl.1d,Area,-68.3538036282,44.3906244695,0,11.1975578207,PanelOne,TRUE,,
2015,A23,Co,c9.1m,Area,-70.1237360148,43.9151261575,0,7.49600942318,PanelOne,TRUE,,
2015,A24,Co,ch.1d,Cmb,-68.8600789715,44.5019764435,11,11.1508427895,PanelOne,TRUE,,
2015,A25,Co,cq.18,Area,-67.5785743981,44.6916240402,0,7.70526405986,PanelOne,TRUE,,
2015,A26,Co,cl.1g,AreaOver,-68.4518882434,44.1472653262,0,26.5456627957,OverSamp,TRUE,,
2015,A27,Co,ce.1i,AreaOver,-69.3654517645,44.1239482951,0,13.9548221052,OverSamp,FALSE,,
2015,A28,Co,cf.1h,AreaOver,-69.2275471575,44.1971803946,0,7.89694923951,OverSamp,FALSE,,
2015,A29,ND,cq.13,Area,-67.397168828,45.1140037962,0,79.6090355686,PanelOne,TRUE,,
2015,A30,ND,c6.18,Area,-70.0122097064,45.1980945316,0,66.1038011121,PanelOne,TRUE,,
2015,A31,ND,c4.0w,Area,-69.8419465768,46.2868853431,0,66.103024434,PanelOne,TRUE,,
2015,A32,ND,cf.0j,Area,-67.9925426827,47.1331236796,0,68.447679033,PanelOne,TRUE,,
2015,A33,ND,c9.15,Area,-69.5397907545,45.384168324,0,66.1001240366,PanelOne,TRUE,,
2015,A34,ND,c1.19,Area,-70.6601215452,45.2313750707,0,66.101601186,PanelOne,TRUE,,
2015,A35,ND,cf.0y,Area,-68.5505038344,45.837891929,0,66.0784347839,PanelOne,TRUE,,
2015,A36,ND,c7.0q,Area,-69.2530615406,46.7330487775,0,66.0961219373,PanelOne,TRUE,,
2015,A37,ND,cf.15,Area,-68.804601938,45.2338558291,0,66.0854551256,PanelOne,TRUE,,
2015,A38,ND,c9.0u,AreaOver,-69.1480724658,46.336140861,0,66.0940507303,OverSamp,TRUE,,
2015,A39,ND,cc.0t,AreaOver,-68.7385997872,46.3467026269,0,66.0844143735,OverSamp,TRUE,,
2015,A40,ND,c4.0z,AreaOver,-69.9470975081,46.0266168993,0,66.1035714427,OverSamp,TRUE,,
