Str,PlotID,nCol,nNest,nAct
Co,ca.1n,6,2,2
Co,ca.1o,2,10,2
Co,cb.1m,2,4,0
Co,cb.1n,2,20,20
Co,cb.1o,4,30,30
Co,cc.1k,6,78,42
Co,cc.1l,4,10,0
Co,cc.1m,2,2,0
Co,cd.1j,2,40,14
Co,cd.1l,2,0,0
Co,cd.1m,2,0,0
Co,ce.1m,2,0,0
Co,cf.1k,2,200,200
Co,cg.1d,2,16,16
Co,cg.1h,2,0,0
Co,cg.1j,2,0,0
Co,ch.1d,2,22,22
Co,ch.1g,6,0,0
Co,ch.1j,2,100,100
Co,cj.1h,2,0,0
Co,ck.1b,2,2,2
Co,ck.1g,2,72,60
Co,cl.1a,4,112,112
Co,cl.1b,4,4,4
Co,cn.1c,2,20,16
Co,cn.1d,2,0,0
Co,cp.1b,4,26,0
Co,cq.1b,2,0,0
Co,cr.17,2,2,2
Co,cs.19,2,0,0
ND,bz.1b,2,0,0
ND,c1.15,2,4,0
ND,c1.1c,2,0,0
ND,c2.1g,2,8,8
ND,c2.1j,2,6,2
ND,c2.1k,2,4,0
ND,c4.15,2,4,2
ND,c5.1f,2,30,10
ND,c6.1j,6,30,24
ND,c7.16,2,0,0
ND,c8.0v,2,0,0
ND,c9.17,2,18,18
ND,ca.17,2,0,0
ND,ca.18,2,4,0
ND,ca.19,2,32,32
ND,cd.11,4,0,0
ND,cd.17,2,0,0
ND,ce.15,2,0,0
ND,cf.16,4,26,6
ND,cg.11,2,0,0
ND,ch.0p,2,0,0
ND,ch.0q,2,6,4
ND,ci.0n,4,6,2
ND,ck.19,2,24,14
ND,cm.17,2,6,4
ND,cn.18,2,8,2
ND,cn.19,4,28,10
SC,c2.1k,2,42,42
SC,c2.1l,2,16,14
SC,c3.1n,2,0,0
SC,c4.1l,2,66,60
SC,c4.1o,2,0,0
SC,c4.1p,4,2,2
SC,c4.1q,6,18,18
SC,c5.1n,2,0,0
SC,c5.1q,4,42,42
SC,c5.1r,2,6,6
SC,c5.1s,4,0,0
SC,c5.1t,2,2,2
SC,c6.1e,2,2,0
SC,c6.1m,4,10,10
SC,c6.1o,2,22,22
SC,c6.1p,2,2,0
SC,c6.1r,10,22,22
SC,c6.1s,2,6,6
SC,c6.1u,4,34,16
SC,c6.1v,2,6,6
SC,c6.1w,4,52,26
SC,c7.1g,2,0,0
SC,c7.1n,6,54,52
SC,c7.1v,2,24,24
SC,c8.1b,2,0,0
SC,c8.1c,4,48,42
SC,c8.1d,4,0,0
SC,c8.1e,4,0,0
SC,c8.1f,2,0,0
SC,c8.1g,2,0,0
SC,c8.1h,2,0,0
SC,c8.1i,4,70,70
SC,c9.1e,6,50,50
SC,c9.1h,2,100,100
SC,c9.1i,4,0,0
SC,c9.1j,2,4,4
SC,c9.1p,2,2,2
SC,ca.1c,2,0,0
SC,ca.1g,6,46,36
SC,ca.1h,2,4,2
SC,cb.1f,2,24,22
SC,cb.1g,2,0,0
SC,cb.1h,4,38,28
SC,cc.1a,4,138,134
SC,cc.1c,4,12,12
SC,cc.1d,6,96,92
SC,cc.1f,2,0,0
SC,cc.1h,6,16,16
SC,cc.1i,2,0,0
SC,cc.1j,4,2,0
SC,cd.19,6,22,22
SC,cd.1b,2,4,4
SC,cd.1c,4,22,16
SC,cd.1d,2,0,0
SC,cd.1e,4,10,10
SC,cd.1f,2,0,0
SC,cd.1i,4,22,18
SC,ce.19,2,4,0
SC,ce.1a,8,14,12
SC,ce.1b,4,0,0
SC,ce.1c,4,0,0
SC,ce.1e,2,0,0
SC,ce.1g,2,2,2
SC,cf.18,4,66,64
SC,cf.19,2,0,0
SC,cf.1a,4,68,58
SC,cf.1c,2,8,8
SC,cf.1e,4,10,4
SC,cg.15,2,0,0
SC,cg.16,4,0,0
SC,cg.17,4,0,0
SC,cg.18,2,4,4
SC,cg.1a,2,0,0
SC,cg.1b,2,0,0
SC,cg.1c,4,30,30
SC,cg.1d,2,10,6
SC,ch.15,2,0,0
SC,ch.16,4,24,22
SC,ch.17,2,10,10
SC,ch.18,4,6,4
SC,ch.1a,4,4,0
SC,ch.1b,4,6,4
SC,ch.1c,4,0,0
SC,ci.19,6,18,4
SC,cj.18,2,8,4
SC,cj.1a,2,12,12
SC,ck.1a,2,2,0
