Str,PlotID,Lng,Lat,KMSq,nCol,nNest,nAct
SC,c6.1w,-70.78115493911051,43.13605316358754,36.88809391933593,4,52,26
SC,c7.1w,-70.6889277968606,43.10487519488499,85.16392664242458,0,0,0
SC,c8.1w,-70.60964108975234,43.08878886474067,35.3126178894341,0,0,0
SC,c5.1v,-70.83207004874116,43.263994247397676,0.484592750662982,0,0,0
SC,c6.1v,-70.76564067476752,43.20792509489203,75.17578134600348,2,6,6
SC,c7.1v,-70.6612221583325,43.1855339629816,100.00000000001907,2,24,24
SC,c8.1v,-70.56677469141499,43.17065051342989,54.9890592691884,0,0,0
SC,c4.1u,-70.94706713608308,43.36074612676229,22.713539352977474,0,0,0
SC,c5.1u,-70.85719855555503,43.32401734024032,80.09529266580438,0,0,0
SC,c6.1u,-70.7480636642671,43.2954873660443,100.00000000003814,4,34,16
SC,c7.1u,-70.62860093312545,43.271915120606906,100,0,0,0
SC,c8.1u,-70.51717222975083,43.2527828364174,83.88405880557156,0,0,0
SC,c4.1t,-70.932587554697193,43.42502352644247,62.852249382210495,0,0,0
SC,c5.1t,-70.83518346013783,43.405403250532814,99.9999999999466,2,2,2
SC,c6.1t,-70.71549949104977,43.38190579065949,100.00000000001526,0,0,0
SC,c7.1t,-70.59589761903543,43.35830046942949,99.99999999998474,0,0,0
SC,c8.1t,-70.47637813813408,43.33458740682155,99.99999999994277,0,0,0
SC,c9.1t,-70.38953130766659,43.33296997594119,26.870589793141008,0,0,0
SC,c4.1s,-70.90878661190378,43.51433588275421,77.50122854796506,0,0,0
SC,c5.1s,-70.80267692763677,43.4918593492938,99.99999999998093,4,0,0
SC,c6.1s,-70.68285322051781,43.46832877530302,100.00000000005723,2,6,6
SC,c7.1s,-70.56311191359113,43.44469022850191,100.00000000001907,0,0,0
SC,c8.1s,-70.4434533016949,43.42094382953517,99.99999999998093,0,0,0
SC,c9.1s,-70.33116344111583,43.40357665580165,81.84693463331541,0,0,0
SC,c3.1r,-70.95773702077227,43.632012996563176,15.930003273512467,0,0,0
SC,c4.1r,-70.8894246342895,43.60205963203212,98.99005168203091,0,0,0
SC,c5.1r,-70.7700882909935,43.5783203793996,99.9999999999466,2,6,6
SC,c6.1r,-70.65012454955126,43.55475654097073,100.00000000001526,10,22,22
SC,c7.1r,-70.53024351287378,43.53108461792145,99.99999999998474,0,0,0
SC,c8.1r,-70.41044547660009,43.50730473156716,99.99999999994277,0,0,0
SC,c9.1r,-70.29073073490483,43.48341700349126,99.99999999998093,0,0,0
SC,ca.1r,-70.21055080237964,43.47705821023317,24.93541205196953,0,0,0
SC,c3.1q,-70.94578012380825,43.710082651406466,47.90123935901928,0,0,0
SC,c4.1q,-70.85760403219747,43.688275499405556,100.00000000001907,6,18,18
SC,c5.1q,-70.73741724644347,43.66478656381702,99.99999999998093,4,42,42
SC,c6.1q,-70.61731317357625,43.64118930972339,100.00000000005723,0,0,0
SC,c7.1q,-70.49729211150859,43.61748385884247,100.00000000001907,0,0,0
SC,c8.1q,-70.37735435668249,43.593670333164745,99.99999999998093,0,0,0
SC,c9.1q,-70.25750020406694,43.56974885494922,100.00000000001907,0,0,0
SC,ca.1q,-70.16498561196167,43.55475922625147,51.41697160332483,0,0,0
Co,ca.1q,-70.10475448830998,43.58471091944114,0.313065151793301,0,0,0
SC,c3.1p,-70.92934427084826,43.79775968358947,74.15412642878151,0,0,0
