Year,Obs_PK,PlotDetails_FK,Lng,Lat,AOU,CapHist,Location,FWSColonyID,fNest,rNest,fAct,rAct,Comment
2015,13,8,,,GBHE,,Wetland,ME.0801,13,10,13,9,
2015,14,9,,,GBHE,,Wetland,ME.0805,21,22,21,22,
2015,15,9,,,GBHE,,Wetland,ME.0658,4,4,3,3,
2015,16,10,,,GBHE,,Wetland,ME.0619,0,0,0,0,Nothing found.
2015,17,10,,,GBHE,,Wetland,ME.0119,3,3,2,2,
2015,18,10,,,GBHE,,Upland,ME.0825,13,7,10,3,
2015,19,11,,,OSPR,x01,,,,,,,1 active osprey nest
2015,20,11,,,OSPR,x01,Upland,,,,,,1 active osprey on island
2015,21,12,,,GBHE,,Upland,ME.0602,23,27,5,1,
2015,22,12,,,GBHE,,,ME.0112,0,0,0,0,Nothing found.
2015,23,13,,,GBHE,,Wetland,ME.0691,1,1,1,1,Nest on north shore in snag. Also sparse nest on far east end.
2015,24,14,,,GBHE,,Upland,ME.0636,50,40,50,39,
2015,25,15,,,GBHE,,Wetland,ME.0656,9,9,7,4,Also sparse remnants of a nest (not incl. in count).
2015,26,15,,,GBHE,,,ME.0631,0,0,0,0,Nothing found.
2015,27,15,,,GBHE,,Upland,ME.0605,12,11,12,11,Upland site surrounded by wetland.
2015,28,16,,,GBHE,x11,Wetland,ME.0755,12,12,7,5,Also sparse remnants of a nest (not incl. in count).
2015,29,16,,,GBHE,x11,Wetland,ME.0754,1,1,1,1,Osprey in area.
2015,30,17,,,GBHE,,Wetland,ME.0804,4,4,4,4,
2015,31,17,,,GBHE,,Wetland,ME.0702,0,0,0,0,Nothing found.
2015,32,17,,,GBHE,,Wetland,ME.0816,4,4,4,4,
2015,33,18,,,GBHE,,Wetland,ME.0648,12,12,11,9,
2015,34,19,,,GBHE,,Wetland,ME.0734,9,8,3,1,Difficult to see if nests active.
2015,35,19,,,GBHE,,Wetland,ME.0101,4,,2,,1 of GBHE nests in live pine with adult perched. Plus 1 active OSPR nest.
2015,36,20,,,GBHE,,Wetland,ME.0100,4,6,3,6,Plus 1 active OSPR; plus 7 additional nests on island that we missed first time checked.
2015,37,20,,,GBHE,,Wetland,ME.0646,15,18,14,16,Some in live pines and snags all on west shore.
2015,38,22,,,GBHE,,Wetland,ME.0102,5,6,3,4,2 inactive nests in south lobe.
2015,39,22,,,GBHE,,Wetland,ME.0771,14,14,14,14,
2015,40,23,,,GBHE,,Wetland,ME.0808,1,1,1,1,
2015,41,24,,,GBHE,,Wetland,ME.0103,4,2,3,2,"2 together on side. 1 in narrow stretch, plus 1 other nest."
2015,42,25,,,GBHE,,Wetland,ME.0827,2,2,2,2,
2015,43,25,,,GBHE,,Wetland,ME.0704,0,0,0,0,Nothing found.
2015,44,25,,,GBHE,,Wetland,ME.0826,3,2,2,1,
2015,45,25,,,GBHE,,Wetland,ME.0828,3,3,3,3,skipped 810 unknowingly; went back on different day.
2015,46,19,,,GBHE,,Wetland,ME.0818,4,,4,,
2015,47,26,,,GBHE,,Wetland,ME.0717,2,2,2,2,
2015,48,27,,,GBHE,,Wetland,ME.0811,1,1,1,1,
2015,49,27,,,GBHE,,Wetland,ME.0829,8,12,5,9,
2015,50,28,,,GBHE,x11,Wetland,ME.0720,9,9,9,9,
2015,51,28,,,GBHE,x01,Wetland,ME.0716,3,3,2,2,Colony was right under us.
2015,52,28,,,GBHE,,Wetland,ME.0649,0,0,0,0,No nests in wetland.
2015,53,30,,,GBHE,,Upland,ME.0618,0,0,0,0,Island; Eagle nest active with adult in nest.
2015,54,30,,,GBHE,,Upland,ME.0800,3,3,3,1,Hard to get good view because towers adjacent to nest trees.
2015,55,30,,,GBHE,,Man-made structure,ME.0796,26,27,26,27,2 active OSPR nests on either end of trestle; some tows had 3 nests across; no nests in live pines on east shore this year.
2015,56,31,,,GBHE,,Wetland,ME.0623,10,9,5,5,Active nest at south end.
2015,57,32,,,GBHE,,Wetland,ME.0106,4,6,3,6,Plus 1 active OSPR nest.
2015,58,32,,,GBHE,,Wetland,ME.0799,4,4,1,1,
2015,59,33,,,GBHE,,Wetland,ME.0792,1,1,0,0,
2015,60,35,,,GBHE,,Wetland,ME.0688,1,1,0,0,
2015,61,36,,,GBHE,,Wetland,ME.0824,6,6,6,6,"Not included in List Frame Colonies layer, but within L09."
2015,62,35,,,GBHE,,Wetland,ME.0783,0,0,0,0,No nests seen.
2015,63,37,,,GBHE,,Wetland,ME.0622,5,4,4,4,DD saw 5th nest on last pass.
2015,64,38,,,GBHE,,Wetland,ME.0742,7,7,2,0,Wetland is very dry.
2015,65,39,,,GBHE,,Wetland,ME.0678,0,0,0,0,No nests seen.
2015,66,39,,,GBHE,,Wetland,ME.0612,9,8,9,8,
2015,67,40,,,GBHE,,Wetland,ME.0731,1,1,1,1,
2015,68,42,,,GBHE,,Upland,ME.0757,0,0,0,0,Island; no nests found.
2015,69,42,,,GBHE,,Upland,ME.0756,12,26,12,26,Island; eagle nest looks active (adult present); BZ saw second bunch of nests that DD missed.
2015,70,42,,,GBHE,,Upland,ME.0026,0,0,0,0,No nests found.
2015,71,43,,,GBHE,,Upland,ME.0004,8,7,8,7,Island; Nests in middle of island and south; BZ thought he may have seen a BCNH nest just south of active OSPR nest.
2015,72,44,,,GBHE,,Upland,ME.0774,25,25,25,25,Island; south central part of island.
2015,73,44,,,GBHE,,Upland,ME.0023,0,0,0,0,Island; no nests found. Active eagle nest w/2 adults.
2015,74,45,,,GBHE,,Upland,ME.0025,70,50,60,50,Island
2015,75,47,-70.32836984,44.01409453297802,GBHE,,Wetland,ME.0847,1,1,1,1,1 active nest in NW lobe of wetland.
2015,76,48,,,GBHE,,Wetland,ME.0601,0,0,0,0,No nests seen.
2015,77,48,,,GBHE,,Wetland,ME.0687,6,6,6,6,All nests just to east of island with live trees.
2015,78,49,,,GBHE,,Wetland,ME.0830,27,20,27,20,
2015,79,49,,,GBHE,,Wetland,ME.0670,1,1,0,0,1 sparse nest.
2015,80,49,,,GBHE,,Wetland,ME.0820,6,5,6,5,1 nest by itself at NE end.
2015,81,51,,,GBHE,xx1,Wetland,ME.0765,11,11,11,11,"Right under plane on both passes, KM saw it out his left window."
2015,82,53,,,GBHE,,Wetland,ME.0780,14,16,14,16,
2015,83,53,,,GBHE,,Wetland,ME.0635,8,9,8,9,
2015,84,54,,,GBHE,,Wetland,ME.0822,2,0,2,0,Nestlings likely; adults standing at nests.
2015,85,55,,,GBHE,,Wetland,ME.0817,3,,3,,
2015,86,56,,,GBHE,,Wetland,ME.0773,3,0,3,0,Plus 1 active OSPR nest.
2015,87,56,,,GBHE,,Wetland,ME.0684,1,0,0,0,Active OSPR nest; hard to deterine if GBHE nest active because in shadow of tree.
2015,88,56,,,GBHE,,Wetland,ME.0640,0,0,0,0,
2015,89,58,,,GBHE,,Wetland,ME.0835,6,2,6,2,
2015,90,55,,,GBHE,,Wetland,ME.0758,0,0,0,0,
2015,91,59,,,GBHE,,Wetland,ME.0834,2,2,0,1,1 active OSPR; 3 empty OSPR; 1 GBHE nest.
2015,92,60,-68.46609843,44.54269259803749,GBHE,x11,Wetland,ME.0848,2,2,2,2,2 nests in 1 tree.
2015,93,55,,,GBHE,,Wetland,ME.0812,0,,0,,
2015,94,55,,,GBHE,,Wetland,ME.0736,1,,0,,
2015,95,55,,,GBHE,,Wetland,ME.0657,0,,0,,
2015,96,61,,,GBHE,,Wetland,ME.0628,3,3,2,2,
2015,97,62,,,GBHE,,Wetland,ME.0770,10,9,10,4,Nests low in trees at middle-north section of wetland.
2015,98,63,,,GBHE,,Wetland,ME.0833,19,21,0,0,1 active OSPR nest.
2015,99,63,,,GBHE,,Wetland,ME.0669,35,38,30,16,2 separate lobes contain nests.
2015,100,64,,,GBHE,,Upland,ME.0016,0,0,0,0,No nests found.
