PlotDetails_PK,Year,Str,Flight_FK,SiteID,PlotID,BegArea,EndArea,BegList,EndList,Comment
70,2015,SC,10,L37,c6.1r,,,,,
71,2015,,10,OOS,,,,,,
72,2015,SC,10,L11,c9.1j,,,,,
73,2015,SC,11,L25,ch.17,,,,,
74,2015,SC,11,L01,ch.16,,,,,
75,2015,ND,11,L65,cf.16,,,,,
76,2015,ND,11,A37,cf.15,,,,,
77,2015,ND,11,A35,cf.0y,,,,,
78,2015,ND,12,A29,cq.13,,,,,
79,2015,Co,12,A17,cs.15,,,,,
80,2015,,13,OOS,,,,,,
81,2015,Co,13,L42,cf.1k,,,,,
82,2015,Co,13,A19,cg.1k,,,,,
83,2015,Co,13,L48,ch.1j,,,,,
84,2015,Co,13,L43,ck.1g,,,,,
85,2015,Co,13,A26,cl.1g,,,,,
86,2015,Co,13,L52,cn.1c,,,,,
87,2015,Co,13,A18,co.1b,,,,,
88,2015,,14,OOS,,,,,,
89,2015,ND,14,L62,ch.0q,,,,,
90,2015,ND,14,L58,ci.0n,,,,,
91,2015,ND,14,A32,cf.0j,,,,,
92,2015,ND,14,A39,cc.0t,,,,,
93,2015,ND,15,L55,c5.1f,,,,,
94,2015,ND,15,L64,c2.1g,,,,,
95,2015,ND,15,L57,c2.1j,,,,,
96,2015,SC,15,L38,c2.1k,,,,,
97,2015,SC,15,L24,c2.1l,,,,,
98,2015,,15,OOS,,,,,,
99,2015,ND,15,A34,c1.19,,,,,
100,2015,ND,15,L53,bz.1b,,,,,
101,2015,ND,16,L56,cm.17,,,,,
102,2015,,16,OOS,,,,,,
103,2015,ND,16,L66,cn.19,,,,,
104,2015,Co,16,A25,cq.18,,,,,
105,2015,Co,16,A21,cr.17,,,,,Combined. 
106,2015,,17,OOS,,,,,,
107,2015,ND,17,A40,c4.0z,,,,,
108,2015,ND,17,A31,c4.0w,,,,,
109,2015,ND,17,A38,c9.0u,,,,,
110,2015,ND,17,A36,c7.0q,,,,,
111,2015,ND,18,L63,c9.17,,,,,
112,2015,,18,OOS,,,,,,
113,2015,ND,18,A33,c9.15,,,,,
114,2015,ND,18,L59,c4.15,,,,,
115,2015,ND,18,A30,c6.18,,,,,
14,2015,SC,2,L34,c9.1h,,,,,
15,2015,SC,2,L36,ca.1g,,,,,
