COLONYNO,SiteID,GEOCODE,DELORME,ColName,Island,Coastal,Hardwoods,Softwoods,Snags,LiveTrees,WithinWetland,WaterbodyShore,Upland,HabitatDesc,Directions,Comments,History,IWWH,SNI,PFW,X_UTMNAD83,Y_UTMNAD83,LAT,LONG,CIRNO,HABITAT,WWHNO,COLSIZE,IWWHNum,TWWHNum,Major Watershed,Subwatershed,FormerEO,GISStatus,Reported2009,Found2009
1,WBC0001,31130,01D5,Isles of Shoals - Appledore Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,368385,4761051,425924,703700,81-191,,,2,,,,,,From Original GIS layer as of August 2008.,0,0
2,WBC0002,31050,03C4,Saco Bay - Wood Island,1,1,1,0,0,1,0,0,1,,"Access by boat.  Once you arrive at W end of island, follow boardwalk towards lighthouse. Colony was likely in the more vegetated (shrubs/trees) in the W central part of the island.",,,0,1,0,392148,4812393,432725,702000,81-015,,,3.2,,,,,,From Database; added 8/2008,0,0
3,WBC0003,05200,03B4,Saco Bay - Stratton Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,393931,4817822,433030,701900,81-002,,,3.2,,,,,,From Original GIS layer as of August 2008.,0,0
4,WBC0004,05110,06E2,Casco Bay - Broad Sound - Eagle Island,1,1,0,0,0,0,0,0,1,,"In 2012, nests located in mideastern sector of the island.",Eagle Island is a state park (home of Admiral Byrd).,,0,1,0,415181,4840310,434250,700320,55-439,,,,,,,,,From Database; added 8/2008,0,0
5,WBC0005,05110,06D2,Casco Bay - Middle Bay - Upper Goose Island,1,1,1,0,0,1,0,0,1,Island heavily forested with mature hardwoods. Herons nest in tops of beech trees.,"Lies in inner Casco Bay, 1 mile from mainland in Harpswell. Not sure exactly where on island the herons nested, but in 2012 aerial survey, ""hole in the stand"" in northern interior noted - this may have been where former nest trees had died and fallen over.",,,0,0,0,417025,4850841,434820,700200,55-251,,,4.8,,,,,1,From Database; added 8/2008,0,0
6,WBC0006,15020,07D2,Linekin Bay - Outer Heron Island,1,1,0,1,0,0,0,0,1,"Coniferous island, upland forbs, shrubs.",,,,0,1,0,452944,4847089,434630,693505,65-279,,,3.6,,,,,5,From Original GIS layer as of August 2008.,0,0
7,WBC0007,15050,07C5,Muscongus Bay - Wreck Island,1,1,1,1,0,1,0,0,1,"The island is covered by herbs and a mixed forest of spruce, paper birch, and striped maple. A large colony of GBHE nest on most of the island.","Low, circular island in central Muscongus Bay, 4km from the mainland in Bristol.",,,0,0,1,467835,4861995,435430,692400,65-194,,,6,,,,,3,From Original GIS layer as of August 2008.,0,0
8,WBC0008,13803,08B3,Muscle Ridge Channel - Graffam Island,1,1,0,1,0,1,0,0,1,65-acre island with conifers.,"In Two Bush Channel, off SE side of Spruce Head. Colony located on two peninsulas that point south, but primarily on SW peninsula.",,,0,0,0,492635,4869984,435900,690530,63-634,,,1.2,,,,,7,From Original GIS layer as of August 2008.,0,0
9,WBC0009,13080,14D5,West Penobscot Bay - Mark Island,1,1,1,1,0,1,0,0,1,35-acre island with mature (old growth) hardwood forest dominated interior with thin fringe of white spruce on periphery.,,,,0,0,0,501401,4891183,442330,685300,63-339,,,0.8,,,,,34,From Database; added 8/2008,0,0
10,WBC0010,27070,,Islesboro area,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,441045,685900,63-339,,,1,,,,,,Not mapped,0,0
