FWSNestID,Svy,LstStr,PlotID,Lng,Lat,LastYr,Status,Occ,nNest,nActive,Comment
ME.0100,GBHE,SC,c6.1w,-70.7949625608,43.1393381235,2014,active,Active,14,6,NA 
ME.0646,GBHE,SC,c6.1w,-70.7959443864,43.1233125557,2014,active,Active,12,7,Ground count 
ME.0101,GBHE,SC,c6.1v,-70.7794697178,43.1868000372,2014,active,Active,3,3,NA 
ME.0734,GBHE,SC,c7.1v,-70.7141470299,43.1829159633,2014,active,Active,12,12,NA 
ME.0102,GBHE,SC,c6.1u,-70.7085274605,43.2766366103,2014,inactive,InActive,2,0,Ground count 
ME.0771,GBHE,SC,c6.1u,-70.7484132131,43.336837639,2014,active,Active,15,8,Ground count 
ME.0808,GBHE,SC,c5.1t,-70.813923921,43.4051105631,2014,active,Active,1,1,Ground count 
ME.0104,GBHE,SC,c5.1s,-70.8511230041,43.4652641222,2009,notchecked,NotChecked,,,
ME.0501,GBHE,SC,c5.1s,-70.8242297463,43.5387692287,2009,notchecked,NotChecked,,,
ME.0103,GBHE,SC,c6.1s,-70.6681343342,43.4510845962,2014,active,Active,3,3,Ground count 
ME.0717,GBHE,SC,c5.1r,-70.8153112584,43.5519982968,2014,active,Active,3,3,Ground count 
ME.0704,GBHE,SC,c6.1r,-70.6182361726,43.5314558751,2010,notchecked,NotChecked,,,
ME.0810,GBHE,SC,c6.1r,-70.6843093192,43.5994200824,2014,active,Active,3,3,NA 
ME.0826,GBHE,SC,c6.1r,-70.6582137963,43.5471787004,2014,active,Active,3,3,Aerial count 
ME.0827,GBHE,SC,c6.1r,-70.6241066224,43.5356581951,2014,active,Active,3,3,NA 
ME.0828,GBHE,SC,c6.1r,-70.7107045482,43.5288670403,2014,active,Active,2,2,Aerial count 
ME.0649,GBHE,SC,c4.1q,-70.8784332846,43.6509601265,2014,inactive,InActive,0,0,Aerial count 
ME.0716,GBHE,SC,c4.1q,-70.8290685183,43.7065708707,2014,active,Active,3,3,NA 
ME.0720,GBHE,SC,c4.1q,-70.8409525017,43.6742342655,2014,active,Active,6,6,NA 
ME.0811,GBHE,SC,c5.1q,-70.781690137,43.6272211772,2014,active,Active,1,1,Ground count 
ME.0829,GBHE,SC,c5.1q,-70.7612576646,43.6740889197,2014,active,Active,20,20,Aerial count 
ME.0185,GBHE,SC,c4.1p,-70.8881249471,43.7702052975,2011,notchecked,NotChecked,,,
ME.0715,GBHE,SC,c4.1p,-70.817838737,43.818055204,2014,active,Active,1,1,Ground count 
ME.0735,GBHE,SC,c6.1p,-70.6315034074,43.6979267204,2014,inactive,InActive,1,0,Aerial count 
ME.0022,GBHE,SC,c9.1p,-70.1873780139,43.6375004663,2014,active,Active,1,1,Ground count 
ME.0686,GBHE,SC,c4.1o,-70.7613901678,43.8695471676,2013,notchecked,NotChecked,,,
ME.0679,GBHE,SC,c6.1o,-70.575564923,43.7913034373,2014,active,Active,11,11,Ground count 
ME.0004,GBHE,Co,ca.1o,-70.0528347029,43.7109675772,2014,active,Active,5,1,Ground count 
ME.0023,GBHE,Co,cb.1o,-69.8993597662,43.7214442667,2012,notchecked,NotChecked,,,
ME.0774,GBHE,Co,cb.1o,-69.9367970685,43.7266009089,2014,active,Active,15,15, GDA: colony not observed added most recent status
ME.0174,GBHE,SC,c3.1n,-70.9090110102,44.0168326301,2009,notchecked,NotChecked,,,
ME.0693,GBHE,SC,c5.1n,-70.6817008792,43.9769066843,2014,inactive,InActive,0,,Ground count 
ME.0670,GBHE,SC,c7.1n,-70.3801576462,43.8720155981,2014,active,Active,1,1,Aerial count 
ME.0820,GBHE,SC,c7.1n,-70.3669688124,43.8352455167,2014,active,Active,5,5,NA 
ME.0830,GBHE,SC,c7.1n,-70.3641998184,43.8958871343,2014,active,Active,21,20,Aerial count 
ME.0026,GBHE,Co,ca.1n,-70.0559261451,43.7668259725,2012,notchecked,NotChecked,,,
ME.0756,GBHE,Co,ca.1n,-70.0722330818,43.7818379705,2014,active,Active,1,1,Ground count 
ME.0757,GBHE,Co,ca.1n,-70.0472264172,43.7876871035,2014,inactive,InActive,0,0,Ground count 
ME.0025,GBHE,Co,cb.1n,-69.891431648,43.7510751086,2014,active,Active,10,10,Ground count 
ME.0601,GBHE,SC,c6.1m,-70.5124921117,43.9750518372,2014,inactive,InActive,0,0,Ground count 
ME.0687,GBHE,SC,c6.1m,-70.480043131,43.9562855391,2014,active,Active,5,5,Aerial count 
ME.0630,GBHE,Co,cb.1m,-69.9063933043,43.8625140999,2014,inactive,InActive,2,0,Ground count 
ME.0752,GBHE,Co,cc.1m,-69.7248110715,43.7973667928,2014,inactive,InActive,1,0,Ground count 
ME.0041,GBHE,Co,cd.1m,-69.6752541301,43.792803944,2009,notchecked,NotChecked,,,
ME.0006,GBHE,Co,ce.1m,-69.5847205239,43.7753583598,2012,notchecked,NotChecked,,,
ME.0713,GBHE,SC,c2.1l,-70.9637213086,44.1353437644,2014,active,Active,8,7,NA 
ME.0692,GBHE,SC,c4.1l,-70.7104350564,44.0784170171,2014,active,Active,33,30,NA 
ME.0711,GBHE,Co,cc.1l,-69.7344883108,43.8877388691,2013,notchecked,NotChecked,,,
ME.0807,GBHE,Co,cc.1l,-69.6711095667,43.9512049575,2014,inactive,InActive,5,0,Ground count 
ME.0739,GBHE,Co,cd.1l,-69.5952918935,43.8954797327,2013,notchecked,NotChecked,,,
ME.0806,GBHE,SC,c2.1k,-70.8782613076,44.204064268,2014,active,Active,21,21,NA 
ME.0109,GBHE,ND,c2.1k,-70.9736217623,44.2355101091,2014,inactive,InActive,2,0,Ground count 
ME.0618,GBHE,Co,cc.1k,-69.6775338201,43.969811404,2014,inactive,InActive,,,Ground count Adults eggs nestlings not observed or recorded.
ME.0796,GBHE,Co,cc.1k,-69.6395543066,44.0137077883,2014,active,Active,29,21,NA 
ME.0800,GBHE,Co,cc.1k,-69.6694685449,43.9934031493,2014,inactive,InActive,10,0,Aerial count 
ME.0007,GBHE,Co,cf.1k,-69.4005866186,43.9103619421,2014,active,Active,100,100, GDA: colony not observed added most recent status
ME.0772,GBHE,ND,c2.1j,-70.8186453014,44.3169117171,2014,active,Active,3,1,Ground count 
ME.0604,GBHE,ND,c6.1j,-70.455313133,44.2203849159,2014,active,Active,13,11,Ground count 
ME.0714,GBHE,ND,c6.1j,-70.4126886168,44.2767557002,2013,notchecked,NotChecked,,,
ME.0840,GBHE,ND,c6.1j,-70.404253315,44.2783361008,2014,active,Active,2,1,Aerial count 
ME.0744,GBHE,SC,c9.1j,-70.0359429573,44.1955588431,2014,active,Active,2,2, GDA: colony not observed added most recent status
ME.0172,GBHE,SC,cc.1j,-69.6649090182,44.1244204054,2009,notchecked,NotChecked,,,
ME.0784,GBHE,SC,cc.1j,-69.6932124199,44.1107996977,2014,inactive,InActive,1,0,Aerial count 
ME.0623,GBHE,Co,cd.1j,-69.5562794949,44.0590244436,2014,active,Active,20,7,NA 
ME.0603,GBHE,Co,cg.1j,-69.2028011856,44.0527258296,2009,notchecked,NotChecked,,,
ME.0008,GBHE,Co,ch.1j,-69.0955353121,43.9813535119,2014,active,Active,50,50,Aerial count 
ME.0112,GBHE,SC,c8.1i,-70.0993947765,44.307249887,2009,notchecked,NotChecked,,,
ME.0602,GBHE,SC,c8.1i,-70.0527680635,44.3065998125,2014,active,Active,35,35,Aerial count 
ME.0620,GBHE,SC,c9.1i,-69.9584763551,44.2428151666,2012,notchecked,NotChecked,,,
ME.0653,GBHE,SC,c9.1i,-69.9785713832,44.2742199887,2009,notchecked,NotChecked,,,
ME.0607,GBHE,SC,cc.1i,-69.5996604707,44.1833116577,2014,inactive,InActive,0,0,Ground count 
ME.0106,GBHE,SC,cd.1i,-69.5234234876,44.1445673312,2014,inactive,InActive,2,,Ground count 
ME.0799,GBHE,SC,cd.1i,-69.5120177894,44.1653311683,2014,active,Active,9,9,Ground count 
ME.0178,GBHE,SC,c8.1h,-70.0914897564,44.3285546949,2009,notchecked,NotChecked,,,
ME.0636,GBHE,SC,c9.1h,-69.9125471522,44.3040966403,2014,active,Active,50,50,NA 
ME.0691,GBHE,SC,ca.1h,-69.8783173895,44.294985241,2014,active,Active,2,1,Ground count 
ME.0754,GBHE,SC,cb.1h,-69.6841692967,44.2661130807,2014,active,Active,2,2,Ground count 
ME.0755,GBHE,SC,cb.1h,-69.7203983642,44.3056042194,2014,active,Active,17,12,Ground count 
ME.0702,GBHE,SC,cc.1h,-69.6052804215,44.2904326229,2011,notchecked,NotChecked,,,
ME.0804,GBHE,SC,cc.1h,-69.6317942522,44.3054984647,2014,active,Active,4,4,Ground count 
ME.0816,GBHE,SC,cc.1h,-69.5876713885,44.2414374726,2014,active,Active,4,4,Ground count 
ME.0749,GBHE,Co,cg.1h,-69.0756332325,44.2108332966,2013,notchecked,NotChecked,,,
ME.0014,GBHE,Co,cj.1h,-68.7078939127,44.1253156182,2009,notchecked,NotChecked,,,
ME.0609,GBHE,ND,c2.1g,-70.7285544239,44.6187991045,2014,active,Active,4,4,Ground count 
ME.0114,GBHE,SC,c7.1g,-70.134101376,44.5192149768,2009,notchecked,NotChecked,,,
ME.0697,GBHE,SC,c8.1g,-70.0483204403,44.5027720083,2013,notchecked,NotChecked,,,
ME.0605,GBHE,SC,ca.1g,-69.7688778438,44.3822453996,2014,active,Active,12,9,NA 
ME.0631,GBHE,SC,ca.1g,-69.8104710018,44.4170071639,2009,notchecked,NotChecked,,,
ME.0656,GBHE,SC,ca.1g,-69.8521049692,44.3804851816,2014,active,Active,11,9,Ground count 
ME.0606,GBHE,SC,cb.1g,-69.6982757816,44.3906293138,2009,notchecked,NotChecked,,,
ME.0792,GBHE,SC,ce.1g,-69.3212780047,44.3570509069,2014,active,Active,1,1,Ground count 
ME.0032,GBHE,Co,ch.1g,-68.9640400338,44.2590046682,2014,inactive,InActive,0,0,Aerial count 
ME.0042,GBHE,Co,ch.1g,-68.9589275379,44.2336123277,2009,notchecked,NotChecked,,,
ME.0705,GBHE,Co,ch.1g,-68.9646752028,44.2520872327,2014,inactive,InActive,0,0,Aerial count 
ME.0608,GBHE,Co,ck.1g,-68.5790390982,44.1682231381,2014,active,Active,36,30,Ground count 
ME.0786,GBHE,ND,c5.1f,-70.3992898529,44.5853581862,2014,active,Active,15,5, GDA: colony not observed added most recent status
ME.0117,GBHE,SC,c8.1f,-69.9838751056,44.5231287462,2009,notchecked,NotChecked,,,
ME.0648,GBHE,SC,cb.1f,-69.6505808481,44.4503692858,2014,active,Active,12,11,Ground count 
ME.0681,GBHE,SC,cc.1f,-69.4838053033,44.3942838949,2013,notchecked,NotChecked,,,
ME.0680,GBHE,SC,cd.1f,-69.3681424881,44.4112253592,2012,notchecked,NotChecked,,,
ME.0671,GBHE,SC,c6.1e,-70.1769662626,44.626912347,2014,inactive,InActive,1,0,Ground count 
ME.0611,GBHE,SC,c8.1e,-69.971563351,44.5879178893,2011,notchecked,NotChecked,,,
ME.0689,GBHE,SC,c8.1e,-69.9169245083,44.6556456836,2014,inactive,InActive,0,0,Aerial count 
ME.0119,GBHE,SC,c9.1e,-69.901636095,44.6081667787,2014,active,Active,3,3,NA 
ME.0619,GBHE,SC,c9.1e,-69.882783118,44.6176808543,2014,inactive,InActive,0,0,Aerial count 
ME.0825,GBHE,SC,c9.1e,-69.8024430474,44.6170581078,2014,active,Active,22,22,Aerial count 
ME.0115,GBHE,SC,cd.1e,-69.3723385403,44.553497552,2014,inactive,InActive,0,0,Aerial count 
ME.0844,GBHE,SC,cd.1e,-69.374969464,44.550014022,2014,active,Active,5,5,NA 
ME.0690,GBHE,SC,ce.1e,-69.2951436387,44.4673957938,2014,inactive,InActive,0,,Ground count 
ME.0688,GBHE,SC,cf.1e,-69.0974648246,44.4572188763,2014,active,Active,3,1,NA 
ME.0783,GBHE,SC,cf.1e,-69.0850027067,44.4883556939,2014,active,Active,2,1,NA 
ME.0121,GBHE,SC,c8.1d,-69.9379424937,44.7437611253,2009,notchecked,NotChecked,,,
ME.0748,GBHE,SC,c8.1d,-69.9502829739,44.739554025,2014,inactive,InActive,0,,Ground count 
ME.0503,GBHE,SC,cc.1d,-69.4217205296,44.6548116357,2009,notchecked,NotChecked,,,
ME.0504,GBHE,SC,cc.1d,-69.4436724063,44.6175841559,2009,notchecked,NotChecked,,,
ME.0685,GBHE,SC,cc.1d,-69.4558388992,44.6015258085,2014,active,Active,48,46,Ground count 
ME.0633,GBHE,SC,cd.1d,-69.3808166666,44.6140389751,2009,notchecked,NotChecked,,,
ME.0742,GBHE,Co,cg.1d,-68.9462336054,44.4985406131,2014,active,Active,8,8,Ground count 
ME.0622,GBHE,SC,cg.1d,-69.0339705465,44.5175608547,2014,active,Active,5,3,Ground count 
ME.0765,GBHE,Co,ch.1d,-68.8713937302,44.5187254903,2014,active,Active,11,11,Ground count 
ME.0033,GBHE,Co,cn.1d,-68.1003017448,44.3608184522,2012,notchecked,NotChecked,,,
ME.0184,GBHE,ND,c1.1c,-70.7299485148,44.9301706907,2009,notchecked,NotChecked,,,
ME.0658,GBHE,SC,c8.1c,-69.9371563354,44.8067516118,2014,active,Active,9,7,Ground count 
ME.0805,GBHE,SC,c8.1c,-69.9124767281,44.8293539563,2014,active,Active,15,14,Ground count 
ME.0696,GBHE,SC,ca.1c,-69.6141455329,44.7593788016,2014,inactive,InActive,0,,Ground count 
ME.0122,GBHE,SC,cc.1c,-69.3625631374,44.7288075318,2009,notchecked,NotChecked,,,
ME.0632,GBHE,SC,cc.1c,-69.4030283645,44.7115363114,2014,active,Active,6,6,Ground count 
ME.0677,GBHE,SC,cd.1c,-69.2875612715,44.6316430893,2014,active,Active,8,6,Ground count 
ME.0760,GBHE,SC,cd.1c,-69.3458249031,44.6680668752,2014,active,Active,3,2,Ground count 
ME.0654,GBHE,SC,ce.1c,-69.1380955904,44.6608461645,2014,inactive,InActive,0,0,Aerial count 
ME.0661,GBHE,SC,ce.1c,-69.1452202094,44.6415020525,2014,inactive,InActive,0,0,Aerial count 
ME.0731,GBHE,SC,cf.1c,-69.0930177354,44.6297324616,2014,active,Active,4,4,Ground count 
ME.0612,GBHE,SC,cg.1c,-68.9667517058,44.6583581632,2014,active,Active,15,15,Ground count 
ME.0678,GBHE,SC,cg.1c,-68.9258009051,44.5769178549,2013,notchecked,NotChecked,,,
ME.0694,GBHE,SC,ch.1c,-68.7620384124,44.6118857589,2012,notchecked,NotChecked,,,
ME.0812,GBHE,SC,ch.1c,-68.7586877107,44.6065187486,2014,inactive,InActive,0,,Ground count 
ME.0707,GBHE,Co,cn.1c,-68.0222418033,44.4365527917,2014,active,Active,10,8,Ground count 
ME.0131,GBHE,ND,bz.1b,-70.9885666331,45.0816143362,2014,active,Active,,,Ground count Nests observed but not counted.
ME.0129,GBHE,SC,c8.1b,-69.8951100707,44.9154975492,2009,notchecked,NotChecked,,,
ME.0821,GBHE,SC,cd.1b,-69.2582434282,44.763311152,2014,active,Active,2,2,NA 
ME.0505,GBHE,SC,ce.1b,-69.0874868447,44.7617982144,2014,inactive,InActive,0,0,Ground count 
ME.0624,GBHE,SC,ce.1b,-69.1283683562,44.7630696189,2009,notchecked,NotChecked,,,
ME.0621,GBHE,SC,cg.1b,-68.8529824489,44.6727533303,2013,notchecked,NotChecked,,,
ME.0657,GBHE,SC,ch.1b,-68.8024286097,44.7023428208,2014,inactive,InActive,0,,Ground count 
ME.0736,GBHE,SC,ch.1b,-68.7717374666,44.6661210405,2014,active,Active,3,2,Ground count 
ME.0834,GBHE,Co,ck.1b,-68.3972661186,44.5422721718,2014,active,Active,1,1,Ground count 
ME.0016,GBHE,Co,cl.1b,-68.2636641699,44.5490210509,2009,notchecked,NotChecked,,,
ME.0701,GBHE,Co,cl.1b,-68.3436588386,44.5463745358,2014,active,Active,2,2,Aerial count 
ME.0043,GBHE,Co,cp.1b,-67.828704848,44.4839129388,2014,inactive,InActive,13,0,NA 
ME.0762,GBHE,Co,cp.1b,-67.8242868422,44.4434178742,2013,notchecked,NotChecked,,,
ME.0038,GBHE,Co,cq.1b,-67.6188857623,44.4625236453,2009,notchecked,NotChecked,,,
ME.0166,GBHE,SC,cc.1a,-69.4097474867,44.8872796594,2014,active,Active,9,7,Ground count 
ME.0738,GBHE,SC,cc.1a,-69.2971805807,44.8805301143,2014,active,Active,60,60,Aerial count 
ME.0625,GBHE,SC,ce.1a,-69.0909465809,44.8231325828,2009,notchecked,NotChecked,,,
ME.0629,GBHE,SC,ce.1a,-69.1379804544,44.8472449182,2013,notchecked,NotChecked,,,
ME.0652,GBHE,SC,ce.1a,-69.1088160397,44.840139229,2009,notchecked,NotChecked,,,
ME.0791,GBHE,SC,ce.1a,-69.0692897784,44.8262676722,2014,active,Active,7,6,Ground count 
ME.0635,GBHE,SC,cf.1a,-68.9213279372,44.8216911053,2014,active,Active,13,10,Ground count 
ME.0780,GBHE,SC,cf.1a,-68.9777857359,44.793104144,2014,active,Active,21,19,Ground count 
ME.0651,GBHE,SC,cg.1a,-68.8953913454,44.7829901772,2009,notchecked,NotChecked,,,
ME.0613,GBHE,SC,ch.1a,-68.6813185259,44.772667959,2014,inactive,InActive,0,0,Ground count 
ME.0737,GBHE,SC,ch.1a,-68.7423910301,44.7571846684,2014,inactive,InActive,2,0,Ground count 
ME.0835,GBHE,SC,cj.1a,-68.4573259691,44.6615659041,2014,active,Active,6,6,NA 
ME.0758,GBHE,SC,ck.1a,-68.4447192839,44.6576760179,2014,inactive,InActive,1,0,Aerial count 
ME.0669,GBHE,Co,cl.1a,-68.3111983807,44.616106799,2014,active,Active,34,34,NA 
ME.0833,GBHE,Co,cl.1a,-68.3144641682,44.625873804,2014,active,Active,22,22,Aerial count 
ME.0801,GBHE,ND,ca.19,-69.611742148,44.9819530269,2014,active,Active,16,16, GDA: colony not observed added most recent status
ME.0775,GBHE,SC,cd.19,-69.2031908224,44.9427679564,2014,active,Active,5,5, GDA: colony not observed added most recent status
ME.0776,GBHE,SC,cd.19,-69.2069070057,44.9230784509,2014,active,Active,2,2,Ground count 
ME.0803,GBHE,SC,cd.19,-69.2145072046,44.93775743,2014,active,Active,4,4, GDA: colony not observed added most recent status
ME.0506,GBHE,SC,ce.19,-69.058578227,44.8860788509,2014,inactive,InActive,2,0,Aerial count 
ME.0634,GBHE,SC,cf.19,-69.0028217646,44.8733125776,2012,notchecked,NotChecked,,,
ME.0640,GBHE,SC,ci.19,-68.6497331157,44.8087720453,2014,inactive,InActive,0,0,Aerial count 
ME.0684,GBHE,SC,ci.19,-68.5636648947,44.7777110057,2014,active,Active,3,1,Ground count 
ME.0773,GBHE,SC,ci.19,-68.5806326299,44.8450760208,2014,active,Active,6,1,NA 
ME.0770,GBHE,ND,ck.19,-68.2984538975,44.7989213492,2014,active,Active,12,7,Aerial count 
ME.0682,GBHE,ND,cn.19,-67.9867375325,44.7029981831,2014,inactive,InActive,9,0,Ground count 
ME.0836,GBHE,ND,cn.19,-67.9594191398,44.6953027595,2014,active,Active,5,5,Aerial count 
ME.0020,GBHE,Co,cs.19,-67.3710750425,44.5975646679,2009,notchecked,NotChecked,,,
ME.0706,GBHE,ND,ca.18,-69.4954141396,45.0649149783,2014,inactive,InActive,2,0,Ground count 
