Svy,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Plot,PlotID,SmpType,Comment
GBHE,A01,-69.01878593,44.71644958,0,14.66708008,SC,PanelOne,Evaluated,,A01,cf.1b,Area,
GBHE,A02,-69.34834743,44.87775392,47,14.66855546,SC,PanelOne,Evaluated,,A02,cc.1a,Cmb,
GBHE,A03,-70.55144108,43.81407075,9,14.6697172,SC,PanelOne,Evaluated,,A03,c6.1o,Cmb,
GBHE,A04,-70.17704111,44.1119751,0,14.67006271,SC,PanelOne,,Reason?,A04,c8.1k,Area,
GBHE,A05,-70.69978864,43.11196563,0,24.62313586,SC,PanelOne,Evaluated,,A05,c7.1w,Area,
GBHE,A06,-70.12373601,43.91512616,0,7.496009423,Co,PanelOne,Evaluated,,A06,c9.1m,Area,
GBHE,A07,-67.927926,44.49187049,7,9.963373763,Co,PanelOne,Evaluated,,A07,co.1b,Cmb,
GBHE,A08,-68.35380363,44.39062447,0,11.19755782,Co,PanelOne,Evaluated,,A08,cl.1d,Area,
GBHE,A09,-67.99254268,47.13312368,0,68.44767903,ND,PanelOne,Evaluated,,A09,cf.0j,Area,
GBHE,A10,-67.39716883,45.1140038,0,79.60903557,ND,PanelOne,Evaluated,,A10,cq.13,Area,
GBHE,A11,-70.01220971,45.19809453,0,66.10380111,ND,PanelOne,Evaluated,,A11,c6.18,Area,
GBHE,A12,-70.24823353,43.65082631,1,34.70353651,SC,PanelOne,,Reason?,A12,c9.1p,Cmb,
GBHE,A13,-68.9477569,44.88888706,4,14.66671956,SC,PanelOne,Evaluated,,A13,cf.19,Cmb,
GBHE,A14,-69.60926329,44.55716227,0,14.66935558,SC,PanelOne,Evaluated,,A14,cb.1e,Area,
GBHE,A15,-70.34418228,43.68003743,0,14.67144835,SC,PanelOne,,Reason?,A15,c8.1p,Area,
GBHE,A16,-68.58311844,44.8127061,14,14.6644056,SC,PanelOne,Evaluated,,A16,ci.19,Cmb,
GBHE,A17,-69.36677959,44.5077218,20,14.66860393,SC,PanelOne,Evaluated,,A17,cd.1e,Cmb,
GBHE,A18,-70.79229567,43.86129129,16,14.66915059,SC,PanelOne,Evaluated,,A18,c4.1o,Cmb,
GBHE,A19,-69.14951006,44.08891317,0,8.835969261,Co,PanelOne,Evaluated,,A19,cg.1i,Area,
GBHE,A20,-67.73492605,44.63219594,0,7.840679052,Co,PanelOne,Evaluated,,A20,cp.19,Area,
GBHE,A21,-69.03915956,44.34679484,0,7.527204266,Co,PanelOne,Evaluated,,A21,cg.1f,Area,
GBHE,A22,-67.22770341,44.89420406,0,8.278316889,Co,PanelOne,Evaluated,,A22,cs.15,Area,
GBHE,A23,-68.28853094,44.28640772,7,12.8284618,Co,PanelOne,Evaluated,,A23,cm.1e,Cmb,
GBHE,A24,-70.09048377,43.72872061,6,53.26732634,Co,PanelOne,Evaluated,,A24,ca.1o,Cmb,
GBHE,A25,-69.71739772,46.26232232,0,66.10209247,ND,PanelOne,Evaluated,,A25,c5.0w,Area,
GBHE,A26,-69.85502827,45.26029351,0,66.10306831,ND,PanelOne,Evaluated,,A26,c7.17,Area,
GBHE,A27,-67.98358061,45.90675909,0,66.05744602,ND,PanelOne,Evaluated,,A27,cj.0w,Area,
GBHE,A28,-68.92961365,46.85601213,0,66.08958847,ND,PanelOne,Evaluated,,A28,c9.0o,Area,
GBHE,A29,-70.63801887,44.94756617,0,66.10179236,ND,PanelOne,Evaluated,,A29,c2.1c,Area,
GBHE,A30,-67.49690363,45.52406558,0,93.63604185,ND,PanelOne,Evaluated,,A30,co.0z,Area,
GBHE,A31,-69.19044132,44.93793203,9,15.03307209,SC,Over,Evaluated,,A31,cd.19,CmbOver,
GBHE,A32,-70.12925983,44.56826005,0,14.67005986,SC,Over,Evaluated,,A32,c7.1f,AreaOver,
GBHE,A33,-70.3312793,44.04956065,1,14.6700002,SC,Over,,,A33,c7.1l,CmbOver,
GBHE,A34,-70.63544776,43.27244643,0,16.55934222,SC,Over,,,A34,c7.1u,AreaOver,
GBHE,A35,-67.14051281,44.78141114,0,7.880446473,Co,Over,,,A35,ct.16,AreaOver,
GBHE,A36,-68.16932238,44.5402312,0,8.208421233,Co,Over,,,A36,cm.1b,AreaOver,
