Flight_PK,DateYear,DateMonth,DateDay,Pilot,FObs,RObs,Start,End,WxNotes,Comments
19,2023,5,5,JS,DD,BZ,1899-12-30 09:40:00,1899-12-30 02:50:00,"mostly sunny, some clouds, 48-61 deg F, winds 10-15 mph",
20,2023,5,6,CH,DD,LM,1899-12-30 08:20:00,1899-12-30 01:20:00,"clear and calm to start, increasing clouds and wind with time, low f 55 deg F, high of 73 deg F.",
21,2023,5,9,NM,DD,BCU,1899-12-30 07:40:00,1899-12-30 09:45:00,"clear and calm to start, inceeasing wind with time, low of 42 deg F, high of 50 deg F",ended early due to illness
22,2023,5,10,NM,DD,KM,1899-12-30 07:48:00,1899-12-30 01:05:00,"sunny, wind increased from 5 to 15 mph w/higher gusts, Temp 42-66 deg F.",
23,2023,5,13,NM,DD,RP,1899-12-30 06:10:00,1899-12-30 10:05:00,"clear but hazy; low of 52 deg F, high of 65 deg F, wind 10-20 mph with some gusts.",ended early due to illness.
24,2023,5,15,MT,DD,MT,1899-12-30 06:10:00,1899-12-30 12:15:00,"clear w/increasing clouds, 42-66 deg F, winds 5-10 pmh w/hiher gusts at end.",
25,2023,5,24,JS,DD,MC,1899-12-30 08:43:00,1899-12-30 01:00:00,"50 deg F, wind ~10 mph, increasing clouds, showers as we landed",
26,2023,5,26,CH,DD,AF,1899-12-30 09:20:00,1899-12-30 02:10:00,"49-53 deg F, winds 9-12 mph, parly cloudy",
27,2023,5,27,NM,DD,KS,1899-12-30 06:20:00,1899-12-30 11:30:00,"54-75 deg F, clear and calm 5-12mph",
28,2023,5,28,NM,DD,MT,1899-12-30 06:20:00,1899-12-30 11:45:00,"55-89 deg F, clear, lt wind 5-10 mph up to 20-30 mph gusts at end in some areas.",
29,2023,5,29,CH,DD,CW,1899-12-30 08:00:00,1899-12-30 11:15:00,"55-63 deg F, 10-15 mph wind, clear",
30,2023,5,30,CH,DD,VH,1899-12-30 06:45:00,1899-12-30 12:45:00,"48-70 deg F, clear, wind 5-10 mph",
31,2023,6,12,NM,DD,BP,1899-12-30 06:35:00,1899-12-30 12:40:00,"55-81 deg F, hazy from wildfires and partly cloudy; no wind.",
32,2023,6,13,NM,DD,LM,1899-12-30 10:37:00,1899-12-30 02:10:00,Overcast and hazy; avoided rain as we went; wind 10-15 mph; temps 60s-70s,
33,2023,6,20,NM,DD,MT,1899-12-30 09:00:00,1899-12-30 04:30:00,mostly overcast near Winthrop - moved towards w. ME where partly sunny and no rain; 60-75 deg F.,
34,2023,6,22,CH,DD,CK,1899-12-30 07:20:00,1899-12-30 11:10:00,"clear, calm, 60-75 deg F",
35,2023,6,23,JS,DD,SB,1899-12-30 07:40:00,1899-12-30 01:10:00,"54-87 deg F, clear, 8-15 mph wind",
36,2023,6,30,NM,DD,JR,1899-12-30 11:50:00,1899-12-30 06:30:00,"low cloud ceilings but broken, temps 60s-70s",
37,2023,7,1,NM,DD,MC,1899-12-30 01:10:00,1899-12-30 03:45:00,"temps in 80s, partly cloudy, 5-10 mph",
