Obs_PK,WaypointID,NewColony?,WBC_ID,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,PlotDetails_FK,Strata,Latitude,Longitude
13,,FALSE,801,1899-12-30 10:01:00,,13,13,10,9,GBHE,Wetland,,8,ND,,
14,,FALSE,805,1899-12-30 10:15:00,,21,21,22,22,GBHE,Wetland,,9,SC,,
15,,FALSE,658,1899-12-30 10:17:00,,4,3,4,3,GBHE,Wetland,,9,SC,,
16,,FALSE,619,1899-12-30 10:28:00,,0,0,0,0,GBHE,Wetland,Nothing found.,10,SC,,
17,,FALSE,119,1899-12-30 10:31:00,,3,2,3,2,GBHE,Wetland,,10,SC,,
18,,FALSE,825,1899-12-30 10:35:00,,13,10,7,3,GBHE,Upland,,10,SC,,
19,009,FALSE,,,x01,,,,,OSPR,,1 active osprey nest,11,SC,,
20,010,FALSE,,,x01,,,,,OSPR,Upland,1 active osprey on island,11,SC,,
21,,FALSE,602,1899-12-30 12:08:00,,23,5,27,1,GBHE,Upland,,12,SC,,
22,,FALSE,112,1899-12-30 12:11:00,,0,0,0,0,GBHE,,Nothing found.,12,SC,,
23,,FALSE,691,1899-12-30 01:25:00,,1,1,1,1,GBHE,Wetland,Nest on north shore in snag. Also sparse nest on far east end.,13,SC,,
24,,FALSE,636,1899-12-30 01:30:00,,50,50,40,39,GBHE,Upland,,14,SC,,
25,,FALSE,656,1899-12-30 01:40:00,,9,7,9,4,GBHE,Wetland,Also sparse remnants of a nest (not incl. in count).,15,SC,,
26,,FALSE,631,1899-12-30 01:45:00,,0,0,0,0,GBHE,,Nothing found.,15,SC,,
27,,FALSE,605,1899-12-30 01:50:00,,12,12,11,11,GBHE,Upland,Upland site surrounded by wetland.,15,SC,,
28,,FALSE,755,,x11,12,7,12,5,GBHE,Wetland,Also sparse remnants of a nest (not incl. in count).,16,SC,,
29,,FALSE,754,1899-12-30 02:35:00,x11,1,1,1,1,GBHE,Wetland,Osprey in area.,16,SC,,
30,,FALSE,804,1899-12-30 02:56:00,,4,4,4,4,GBHE,Wetland,,17,SC,,
31,,FALSE,702,1899-12-30 03:00:00,,0,0,0,0,GBHE,Wetland,Nothing found.,17,SC,,
32,,FALSE,816,1899-12-30 03:02:00,,4,4,4,4,GBHE,Wetland,,17,SC,,
33,,FALSE,648,1899-12-30 03:14:00,,12,11,12,9,GBHE,Wetland,,18,SC,,
