Obs_PK,PlotDetails_FK,WaypointID,NewColony?,WBC_ID,Strata,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,Latitude,Longitude
151,121,,TRUE,910,SC,,111,1,0,1,0,,Wetland,1 inactive nest in wetland just south of 907.,44.031868,-70.410834
152,121,,FALSE,849,SC,,X11,9,2,10,2,GBHE,Split: upland and wetland,Mix oflive and dead trees. One of active nests may have been an osprey nest.,,
153,117,,FALSE,100,SC,,,0,0,0,0,,Wetland,,,
154,117,,FALSE,646,SC,,X11,11,11,16,16,GBHE,Upland,All nests in live pines on NW edge of wetland; osprey nest in snag in middle of wetland.,,
155,121,,FALSE,105,SC,,,0,0,0,0,,,unknown habitat of original colony,,
156,121,,FALSE,101,SC,,X11,8,8,8,8,GBHE,Wetland,"Cluster of 5 nests, then 3 more scattered more south/east; 1 osprey nest",,
157,118,,FALSE,102,SC,,,0,0,0,0,,Wetland,,,
158,118,,TRUE,911,SC,,x11,3,3,3,3,GBHE,Wetland,New nearby colony found.,43.272275,-70.712602
159,118,,FALSE,771,SC,,,0,0,0,0,,Wetland,,,
160,118,,FALSE,902,SC,,,0,0,0,0,,Wetland,,,
161,119,,FALSE,890,SC,,x11,6,6,7,6,GBHE,Wetland,The additional empty nest seen by Robs may not be a nest?,,
162,119,,FALSE,868,SC,,x11,6,6,6,6,GBHE,Wetland,,,
163,120,,FALSE,103,SC,,,0,0,0,0,,Wetland,,,
164,123,,FALSE,810,SC,,x11,2,1,2,2,GBHE,Wetland,,,
165,123,,FALSE,826,SC,,,0,0,0,0,,Wetland,"Checked snags in flowage to SE of 826, too.",,
166,122,,FALSE,827,SC,,,3,3,3,3,GBHE,Wetland,3 single nests in snags in middle of deeper water,,
167,122,,FALSE,704,SC,,,0,0,0,0,,Wetland,,,
168,123,,FALSE,828,SC,,,0,0,0,0,,Wetland,,,
169,237,,FALSE,717,SC,,,0,0,0,0,,Wetland,,,
170,122,,FALSE,811,SC,,,0,0,0,0,,Wetland,,,
171,122,,FALSE,831,SC,,,0,0,0,0,,Upland,Made sure to check live trees and snags; no sign of herons or nests.,,
172,124,,TRUE,913,SC,,x11,3,1,3,1,GBHE,Wetland,Nests in snags in flowage just NE of 703. Found during search.,43.591475,-70.829614
173,124,,FALSE,703,SC,,,0,0,0,0,,Wetland,,,
174,124,,FALSE,647,SC,,,0,0,0,0,,Wetland,,,
175,125,,FALSE,635,SC,,,0,0,0,0,,Wetland,,,
176,125,,FALSE,780,SC,,x11,22,22,14,14,GBHE,Wetland,Difficult to count.,,
177,126,,FALSE,738,SC,,x11,13,13,9,9,GBHE,Wetland,Go back to count again.,,
178,127,,FALSE,738,SC,,x11,22,22,18,18,GBHE,Upland,Difficult to count because some nests below canopy.,,
179,127,,FALSE,166,SC,,,0,0,0,0,,Wetland,,,
180,127,,FALSE,126,SC,,,0,0,0,0,,,unknown habitat of original colony,,
181,128,,FALSE,175,SC,,,0,0,0,0,,Wetland,,,
182,129,,FALSE,122,SC,,,0,0,0,0,,,unknown habitat of original colony,,
183,129,,FALSE,632,SC,,,0,0,0,0,,Wetland,,,
184,135,,FALSE,908,SC,,,18,18,20,20,GBHE,Wetland,,,
185,135,,FALSE,685,SC,,x11,20,0,20,0,GBHE,Wetland,"Active BAEA nest in snag - 2 adults present, one above nest & one nearby.",,
186,131,,FALSE,760,SC,,x11,1,1,1,1,GBHE,Wetland,,,
187,131,,FALSE,677,SC,,,0,0,0,0,,Wetland,,,
188,132,,FALSE,732,SC,,,0,0,0,0,,Wetland,,,
189,132,,FALSE,116,SC,,,0,0,0,0,,Wetland,,,
150,121,,FALSE,907,SC,,,0,0,0,0,,Wetland,,,
190,134,,FALSE,622,SC,,x11,1,0,1,0,GBHE,Wetland,RObs also saw 1/2 of an old nest.,,
191,133,,FALSE,742,Co,,,0,0,0,0,,Wetland,,,
192,136,,FALSE,892,SC,,x11,5,5,4,2,GBHE,Wetland,,,
193,137,,FALSE,830,SC,,x11,38,38,28,28,GBHE,Wetland,,,
194,137,,FALSE,670,SC,,,0,0,0,0,,Wetland,,,
195,137,,FALSE,820,SC,,,0,0,0,0,,Wetland,,,
196,139,,FALSE,679,SC,,x11,1,0,1,0,GBHE,Upland,Single nest on tiny island. Brown nest structure with no birds present. Saw a heron fly in the vicinity earlier.,,
197,140,,TRUE,914,SC,,x10,7,5,8,2,GBHE,Wetland,Difficult to tell how many nests active.,43.822161,-70.800324
198,140,,TRUE,915,SC,,x11,5,4,5,4,GBHE,Upland,Nests in live pines on edge of the wetland,43.898364,-70.798297
199,140,,FALSE,885,SC,,x11,5,5,4,4,GBHE,Wetland,,,
200,140,,FALSE,686,SC,,,0,0,0,0,,Wetland,,,
201,141,,FALSE,880,SC,,x11,6,3,6,1,GBHE,Wetland,Hard to tell how many nests active,,
202,141,,FALSE,693,SC,,,0,0,0,0,,Wetland,,,
203,142,,FALSE,887,SC,,x11,2,0,3,0,GBHE,Wetland,Robs saw 1 more nest on the edge of the wetland.,,
204,144,,FALSE,870,SC,,,0,0,0,0,,Wetland,DRY,,
205,145,,FALSE,655,SC,,,0,0,0,0,,Wetland,DRY,,
206,145,,FALSE,798,SC,,,0,0,0,0,,Wetland,DRY,,
207,144,,FALSE,822,SC,,X11,1,1,1,1,OSPR,Wetland,Active osprey nest at colony 822.,,
208,144,,FALSE,822,SC,,,0,0,0,0,,Wetland,,,
209,144,,TRUE,916,SC,,x10,30,30,15,2,GBHE,Upland,Upland pine stand next to the field.,44.935047,-68.83567
210,145,,FALSE,785,SC,,x11,1,1,1,1,OSPR,Wetland,Active osprey nest at colony 785.,,
211,145,,FALSE,785,SC,,,0,0,0,0,,Wetland,,,
212,146,,FALSE,675,ND,,,0,0,0,0,,Wetland,,,
213,146,,FALSE,746,ND,,x11,2,0,2,0,GBHE,Wetland,,,
214,147,,FALSE,727,SC,,,1,0,1,0,GBHE,Wetland,,,
215,147,,FALSE,136,SC,,,0,0,0,0,,Wetland,No obvious location for colony here.,,
216,148,,FALSE,617,SC,,,0,0,0,0,,Wetland,,,
217,148,,FALSE,695,SC,,,0,0,0,0,,Wetland,,,
218,148,,FALSE,135,SC,,,0,0,0,0,,Wetland,,,
219,148,,FALSE,723,SC,,,0,0,0,0,,Wetland,,,
220,148,,FALSE,134,SC,,,0,0,0,0,,Upland,No obvious location here.,,
221,148,,FALSE,724,SC,,,0,0,0,0,,Wetland,,,
222,149,,FALSE,763,SC,,,1,0,1,0,GBHE,Wetland,,,
223,149,,FALSE,740,SC,,,0,0,0,0,,Wetland,1 BAEA perched on east edge of wetland but no nest seen.,,
224,149,,FALSE,718,SC,,,0,0,0,0,,Wetland,,,
225,150,,FALSE,628,SC,,,0,0,0,0,,Wetland,,,
226,150,,FALSE,769,SC,,,0,0,0,0,,Wetland,,,
227,150,,FALSE,881,SC,,,0,0,0,0,,Wetland,,,
228,151,,FALSE,770,ND,,,0,0,0,0,,Wetland,Empty BAEA(?) nest in live pine on west side of wetland. No other nests seen.,,
229,152,,TRUE,917,SC,,X10,2,0,2,0,GBHE,Wetland,Northwest corner of plot; not detected by Robs at first.,44.866079,-68.610239000000007
230,152,,FALSE,684,SC,,,0,0,0,0,,Wetland,,,
231,152,,FALSE,773,SC,,x10,1,0,1,0,GBHE,Wetland,There are 2 nests here - we each saw a different nest and realized it after that there were 2 total.,,
232,152,,FALSE,905,SC,,x00,1,1,1,1,GBHE,Upland,,,
233,152,,FALSE,640,SC,,,0,0,0,0,,Wetland,,,
234,152,,FALSE,883,SC,,x00,1,1,0,0,GBHE,Wetland,,,
235,153,,FALSE,910,SC,,,1,0,1,0,GBHE,Wetland,There may also be a partial old nest here.,,
236,154,,FALSE,692,SC,,,14,14,13,13,GBHE,Wetland,,,
237,154,,FALSE,877,SC,,,0,0,0,0,,Wetland,,,
238,155,,FALSE,888,SC,,,30,30,33,33,GBHE,Wetland,,,
239,153,,FALSE,806,SC,,,0,0,0,0,,Wetland,,,
240,156,,FALSE,719,ND,,,0,0,0,0,,Wetland,,,
241,155,,FALSE,713,SC,,,0,0,0,0,,Wetland,,,
242,157,,FALSE,744,SC,,,0,0,0,0,,Wetland,,,
243,157,,FALSE,108,SC,,,0,0,0,0,,Upland,,,
244,158,,FALSE,602,SC,,,0,0,0,0,,Upland,,,
