PlotDetails_PK,SiteID,Combined?,BegArea,EndArea,BegList,EndList,Comments,Flight_FK
70,L37,FALSE,,,,,,10
71,OOS,FALSE,,,,,,10
72,L11,FALSE,,,,,,10
73,L25,FALSE,,,,,,11
74,L01,FALSE,,,,,,11
75,L65,FALSE,,,,,,11
76,A37,FALSE,1899-12-30 09:55:00,1899-12-30 10:51:00,,,,11
77,A35,FALSE,1899-12-30 11:05:00,1899-12-30 11:57:00,,,,11
78,A29,FALSE,1899-12-30 10:57:00,1899-12-30 12:04:00,,,,12
79,A17,FALSE,1899-12-30 12:13:00,1899-12-30 01:14:00,,,,12
80,OOS,FALSE,,,,,,13
81,L42,FALSE,,,,,,13
82,A19,FALSE,1899-12-30 11:48:00,1899-12-30 12:13:00,,,,13
83,L48,FALSE,,,,,,13
84,L43,FALSE,,,,,,13
85,A26,FALSE,1899-12-30 12:50:00,1899-12-30 01:20:00,,,,13
86,L52,FALSE,,,,,,13
87,A18,FALSE,1899-12-30 01:39:00,1899-12-30 02:34:00,,,,13
88,OOS,FALSE,,,,,,14
89,L62,FALSE,,,,,,14
90,L58,FALSE,,,,,,14
91,A32,FALSE,1899-12-30 10:55:00,1899-12-30 11:38:00,,,,14
92,A39,FALSE,1899-12-30 12:18:00,1899-12-30 01:00:00,,,,14
93,L55,FALSE,,,,,,15
94,L64,FALSE,,,,,,15
95,L57,FALSE,,,,,,15
96,L38,FALSE,,,,,,15
97,L24,FALSE,,,,,,15
98,OOS,FALSE,,,,,,15
99,A34,FALSE,1899-12-30 11:43:00,1899-12-30 12:28:00,,,,15
100,L53,FALSE,,,,,,15
101,L56,FALSE,,,,,,16
102,OOS,FALSE,,,,,,16
103,L66,FALSE,,,,,,16
104,A25,FALSE,1899-12-30 09:45:00,1899-12-30 10:36:00,,,,16
105,A21,TRUE,1899-12-30 10:40:00,1899-12-30 11:33:00,1899-12-30 11:33:00,1899-12-30 11:39:00,,16
106,OOS,FALSE,,,,,,17
107,A40,FALSE,1899-12-30 09:40:00,1899-12-30 10:25:00,,,,17
108,A31,FALSE,1899-12-30 10:30:00,1899-12-30 11:15:00,,,,17
109,A38,FALSE,1899-12-30 11:30:00,1899-12-30 12:15:00,,,,17
110,A36,FALSE,1899-12-30 12:22:00,1899-12-30 01:02:00,,,,17
111,L63,FALSE,,,,,,18
112,OOS,FALSE,,,,,,18
113,A33,FALSE,1899-12-30 11:10:00,1899-12-30 11:58:00,,,,18
114,L59,FALSE,,,,,,18
115,A30,FALSE,1899-12-30 12:33:00,1899-12-30 01:27:00,,,,18
14,L34,FALSE,,,1899-12-30 01:30:00,,,2
15,L36,FALSE,,,1899-12-30 01:40:00,1899-12-30 01:50:00,,2
16,A05,TRUE,1899-12-30 01:53:00,1899-12-30 02:51:00,,,,2
17,L07,FALSE,,,1899-12-30 02:56:00,1899-12-30 03:02:00,,2
18,L29,FALSE,,,1899-12-30 03:14:00,,,2
19,OOS,FALSE,,,,,,3
20,L20,FALSE,,,1899-12-30 10:56:00,1899-12-30 11:00:00,,3
21,A07,FALSE,1899-12-30 11:05:00,1899-12-30 11:55:00,,,,3
22,L32,FALSE,,,1899-12-30 12:02:00,1899-12-30 12:12:00,,3
23,L30,FALSE,,,1899-12-30 12:17:00,,,3
24,L12,FALSE,,,1899-12-30 12:25:00,,,3
25,L37,FALSE,,,1899-12-30 12:32:00,1899-12-30 12:38:00,Skipped colony #810 unknowingly. Went back at later date.,3
26,L16,FALSE,,,1899-12-30 12:46:00,,,3
27,L23,FALSE,,,1899-12-30 12:50:00,1899-12-30 12:58:00,,3
28,A11,TRUE,1899-12-30 02:21:00,1899-12-30 03:27:00,,,,3
29,A01,FALSE,1899-12-30 10:10:00,1899-12-30 11:10:00,,,,4
30,L44,FALSE,,,,,,4
31,L51,FALSE,,,,,,4
32,L08,FALSE,,,,,,4
33,L21,FALSE,,,,,,4
34,A09,FALSE,1899-12-30 12:08:00,1899-12-30 12:57:00,,,,4
35,L09,FALSE,,,,,,4
36,OOS,FALSE,,,,,,4
37,L06,FALSE,,,,,,4
38,L50,FALSE,,,,,,4
39,L17,FALSE,,,,,,4
40,L02,FALSE,,,,,,4
41,A23,FALSE,1899-12-30 10:10:00,1899-12-30 11:03:00,,,,5
42,L39,FALSE,,,,,,5
