PlotDetails_PK,Flight_FK,SiteID,Combined?,BegArea,EndArea,BegList,EndList,Comments
116,19,A05,FALSE,1899-12-31T00:00:00Z,1899-12-31T00:00:00Z,,,Nothing observed in this plot.
117,19,L01,FALSE,,,,,
118,19,L40,FALSE,,,,,
119,19,L49,FALSE,,,,,
120,19,L19,FALSE,,,,,
121,19,OOS,FALSE,,,,,
122,20,OOS,FALSE,,,,,
123,20,L35,FALSE,,,,,
124,20,L63,TRUE,1899-12-30 10:45:00,1899-12-30 11:20:00,1899-12-30 11:20:00,1899-12-30 11:35:00,Replaced A12 which was a combined plot b/c A12 is in Portland airspace.
125,21,L11,FALSE,,,,,
126,21,A02,TRUE,1899-12-30 09:12:00,1899-12-30 09:30:00,,,Ended early due to illness
127,22,A02,TRUE,1899-12-30 08:00:00,1899-12-30 08:35:00,1899-12-30 08:35:00,1899-12-30 08:40:00,Continued from 5/9
128,22,L36,FALSE,,,,,
129,22,L12,FALSE,,,,,
130,22,A14,FALSE,1899-12-30 09:21:00,1899-12-30 10:17:00,,,
131,22,L09,FALSE,,,,,
132,22,L33,FALSE,,,,,
133,22,L25,FALSE,,,,,
134,22,L22,FALSE,,,,,
135,22,OOS,FALSE,,,,,
136,23,L44,FALSE,,,,,
137,23,L08,FALSE,,,,,
138,23,A03,TRUE,1899-12-30 07:50:00,1899-12-30 08:34:00,,,Didn't finish due to illness; didn't et to list frame of this plot during this flight.
139,24,A03,TRUE,1899-12-30 07:38:00,1899-12-30 07:50:00,,,Continued from 5/13/23; saw list colony during search.
140,24,A18,TRUE,1899-12-30 07:56:00,1899-12-30 09:10:00,1899-12-30 09:10:00,1899-12-30 09:15:00,
141,24,L47,FALSE,,,,,
142,24,L37,FALSE,,,,,
143,24,A06,FALSE,1899-12-30 10:22:00,1899-12-30 10:59:00,,,
144,25,L16,FALSE,,,,,
145,25,L43,FALSE,,,,,
146,25,L71,FALSE,,,,,
147,25,L34,FALSE,,,,,
148,25,L38,FALSE,,,,,
149,25,L48,FALSE,,,,,
150,25,L05,FALSE,,,,,
151,25,OOS,FALSE,,,,,
152,25,A16,TRUE,1899-12-30 11:30:00,1899-12-30 12:30:00,1899-12-30 12:30:00,1899-12-30 12:48:00,
153,26,OOS,FALSE,,,,,
154,26,L18,FALSE,,,,,
155,26,L13,FALSE,,,,,
156,26,L84,FALSE,,,,,
157,26,L02,FALSE,,,,,
158,26,L10,FALSE,,,,,
159,26,L42,FALSE,,,,,
160,26,L20,FALSE,,,,,
161,26,L04,FALSE,,,,,
162,27,OOS,FALSE,,,,,
163,27,A01,FALSE,1899-12-30 07:05:00,1899-12-30 08:02:00,,,
164,27,A31,TRUE,1899-12-30 08:21:00,1899-12-30 09:34:00,,,Detected all sites during search
165,27,A13,TRUE,1899-12-30 10:27:00,1899-12-30 11:15:00,1899-12-30 11:15:00,1899-12-30 11:20:00,
166,28,A24,TRUE,1899-12-30 07:45:00,1899-12-30 09:19:00,,,Detected all sites during search
167,28,L27,FALSE,,,,,
168,28,L55,FALSE,,,,,
169,28,L57,FALSE,,,,,
170,28,L53,FALSE,,,,,
171,28,L77,FALSE,,,,,
172,28,L61,FALSE,,,,,
173,28,L46,FALSE,,,,,
174,28,L29,FALSE,,,,,
175,28,L15,FALSE,,,,,
176,28,L50,FALSE,,,,,
177,28,OOS,FALSE,,,,,
178,29,OOS,FALSE,,,,,
179,29,L26,FALSE,,,,,
180,29,L24,FALSE,,,,,
181,29,L62,FALSE,,,,,
182,29,A07,FALSE,1899-12-30 09:07:00,1899-12-30 09:45:00,,,
183,29,A20,FALSE,1899-12-30 09:50:00,1899-12-30 10:20:00,,,
184,29,L60,FALSE,,,,,
185,29,L51,FALSE,,,,,
186,30,A22,FALSE,1899-12-30 07:30:00,1899-12-30 08:02:00,,,
187,30,OOS,FALSE,,,,,
188,30,A10,FALSE,1899-12-30 08:09:00,1899-12-30 08:33:00,,,
189,30,A30,FALSE,1899-12-30 08:50:00,1899-12-30 09:10:00,,,
190,30,A17,TRUE,1899-12-30 11:08:00,1899-12-30 11:45:00,1899-12-30 11:45:00,1899-12-30 11:50:00,
191,30,L21,FALSE,,,,,
192,30,L52,FALSE,,,,,
193,30,L45,FALSE,,,,,
194,30,L17,FALSE,,,,,
195,31,L32,FALSE,,,,,
196,31,L39,FALSE,,,,,
197,31,L59,FALSE,,,,,
198,31,A08,TRUE,1899-12-30 07:47:00,1899-12-30 08:50:00,1899-12-30 08:55:00,1899-12-30 08:58:00,
199,31,A23,TRUE,1899-12-30 09:43:00,1899-12-30 10:38:00,1899-12-30 10:38:00,1899-12-30 10:41:00,
200,31,L30,FALSE,,,,,
201,31,L76,FALSE,,,,,
202,31,OOS,FALSE,,,,,
203,31,L28,FALSE,,,,,
204,31,L23,FALSE,,,,,
205,31,L58,FALSE,,,,,
206,32,L83,FALSE,,,,,
207,32,OOS,FALSE,,,,,
208,32,L87,FALSE,,,,,
209,32,L85,FALSE,,,,,
210,32,L74,FALSE,,,,,
211,32,L86,FALSE,,,,,
212,32,A27,FALSE,1899-12-30 10:46:00,1899-12-30 01:26:00,,,
213,33,L14,FALSE,,,,,
214,33,L31,FALSE,,,,,
215,33,L06,FALSE,,,,,
216,33,A26,FALSE,1899-12-30 12:05:00,1899-12-30 01:05:00,,,
217,33,L75,FALSE,,,,,
218,33,L73,FALSE,,,,,
219,33,OOS,FALSE,,,,,
220,33,A11,FALSE,1899-12-30 02:20:00,1899-12-30 03:03:00,,,
221,34,L54,FALSE,,,,,
222,34,L56,FALSE,,,,,
223,34,A21,FALSE,1899-12-30 08:14:00,1899-12-30 08:47:00,,,
224,34,A19,FALSE,1899-12-30 09:10:00,1899-12-30 10:20:00,,,Paused from 10:06-10:20 due to illness
225,34,L03,FALSE,,,,,
227,35,A32,FALSE,1899-12-30 08:51:00,1899-12-30 09:57:00,,,
228,35,L72,FALSE,,,,,
229,35,A29,FALSE,1899-12-30 10:18:00,1899-12-30 11:19:00,,,
230,36,OOS,FALSE,,,,,
231,36,A28,FALSE,1899-12-30 02:15:00,1899-12-30 03:05:00,,,
232,36,L89,FALSE,,,,,
233,36,A09,FALSE,1899-12-30 03:42:00,1899-12-30 04:22:00,,,
235,37,A25,FALSE,1899-12-30 02:10:00,1899-12-30 02:46:00,,,
236,37,L82,FALSE,,,,,
237,20,L41,FALSE,,,,,
